creator_id,creator_name,work_id,work_name
Q95008,JOHN CARPENTER,Q850312,HALLOWEEN II
Q95008,JOHN CARPENTER,Q210756,THE THING
Q95008,JOHN CARPENTER,Q1214972,IN THE MOUTH OF MADNESS
Q95008,JOHN CARPENTER,Q1167579,VILLAGE OF THE DAMNED
Q95008,JOHN CARPENTER,Q203705,HALLOWEEN III: SEASON OF THE WITCH
Q95008,JOHN CARPENTER,Q753449,CHEVIL
Q95008,JOHN CARPENTER,Q753449,CHRISTINE
Q95008,JOHN CARPENTER,Q1341009,STARMAN
Q95008,JOHN CARPENTER,Q1740809,MEMOIRS OF AN INVISIBLE MAN
Q95008,JOHN CARPENTER,Q976728,HALLOWEEN 5: THE REVENGE OF MICHAEL MYERS
Q95008,JOHN CARPENTER,Q67279679,HALLOWEEN KILLS
Q95008,JOHN CARPENTER,Q880421,BLACK MOON RISING
Q95008,JOHN CARPENTER,Q107791285,FRIEND OF THE WORLD
Q95008,JOHN CARPENTER,Q601013,PRINCE OF DARKNESS
Q95008,JOHN CARPENTER,Q650677,THE BOY WHO COULD FLY
Q95008,JOHN CARPENTER,Q72909,THEY LIVE
Q95008,JOHN CARPENTER,Q741026,ESCAPE FROM L.A.
Q95008,JOHN CARPENTER,Q60637469,IN SEARCH OF DARKNESS
Q95008,JOHN CARPENTER,Q80679266,REVENGE OF THE COLOSSAL BEASTS
Q95008,JOHN CARPENTER,Q20666646,HALLOWEEN
Q95008,JOHN CARPENTER,Q80679316,TERROR FROM SPACE
Q95008,JOHN CARPENTER,Q209505,THE WARD
Q95008,JOHN CARPENTER,Q500403,THE FOG
Q95008,JOHN CARPENTER,Q1167735,ASSAULT ON PRECINCT 13
Q95008,JOHN CARPENTER,Q1697426,THE FOG
Q95008,JOHN CARPENTER,Q1699556,VAMPIRES: LOS MUERTOS
Q95008,JOHN CARPENTER,Q572165,NETWORK
Q95008,JOHN CARPENTER,Q5577900,GOING TO PIECES: THE RISE AND FALL OF THE SLASHER FILM
Q95008,JOHN CARPENTER,Q434718,ASSAULT ON PRECINCT 13
Q95008,JOHN CARPENTER,Q261700,GHOSTS OF MARS
Q95008,JOHN CARPENTER,Q221103,HALLOWEEN
Q95008,JOHN CARPENTER,Q5245338,DEAD ON: THE LIFE AND CINEMA OF GEORGE A. ROMERO
Q95008,JOHN CARPENTER,Q909063,HALLOWEEN
Q95008,JOHN CARPENTER,Q6692044,LOVECRAFT: FEAR OF THE UNKNOWN
Q95008,JOHN CARPENTER,Q669231,VAMPIRES
Q95008,JOHN CARPENTER,Q20649920,"NIGHTMARES IN RED, WHITE AND BLUE"
Q95008,JOHN CARPENTER,Q859494,BIG TROUBLE IN LITTLE CHINA
Q95008,JOHN CARPENTER,Q925429,EYES OF LAURA MARS
Q95008,JOHN CARPENTER,Q1450717,THE AMERICAN NIGHTMARE
Q266222,NADINE TRINTIGNANT,Q3043088,FORBIDDEN TO KNOW
Q266222,NADINE TRINTIGNANT,Q1212341,L'ETE PROCHAIN
Q266222,NADINE TRINTIGNANT,Q3202805,L'EAU A LA BOUCHE
Q266222,NADINE TRINTIGNANT,Q3043088,DEFENSE DE SAVOIR
Q266222,NADINE TRINTIGNANT,Q21009295,PREMIER VOYAGE
Q266222,NADINE TRINTIGNANT,Q110251059,THE BLUE ISLAND
Q266222,NADINE TRINTIGNANT,Q3319834,"MON AMOUR, MON AMOUR"
Q266222,NADINE TRINTIGNANT,Q1171502,CA N'ARRIVE QU'AUX AUTRES
Q266222,NADINE TRINTIGNANT,Q10284438,"FRAILTY, THY NAME IS WOMAN"
Q266222,NADINE TRINTIGNANT,Q1171502,IT ONLY HAPPENS TO OTHERS
Q266222,NADINE TRINTIGNANT,Q28496662,THE HOUSE OF JADE
Q266222,NADINE TRINTIGNANT,Q3319834,"MY LOVE, MY LOVE"
Q266222,NADINE TRINTIGNANT,Q110251059,L'ILE BLEUE
Q266222,NADINE TRINTIGNANT,Q13103735,LE VOLEUR DE CRIMES
Q266222,NADINE TRINTIGNANT,Q1212341,NEXT SUMMER
Q7436243,SCOTT DIKKERS,Q7572704,SPACEMAN
